과제번호,질환,질환_en,표적,모달리티,모달리티_대분류,개발단계,개발단계_en,보유기관,적응증,과제명,현재상태,성공가능성_pct,성공가능성_근거
RS-2025-25452986,종양,Oncology,CDK6,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,한국과학기술연구원,AML/ALL,mRNA/LNP 기반 pan-RAS 변이 단백질 특이적 Bio-PROTAC 폐암 치료제 플랫폼 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25452139,종양,Oncology,CDK6,TPD,표적단백질분해(TPD),발굴,Discovery,연세대학교산학협력단,AML/ALL,CDK6 KLHDC2 PROTAC 선도물질 1종 이상 도출 및 기술이전,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25452008,종양,Oncology,*****,Small molecules,합성/저분자,발굴,Discovery,서강대학교산학협력단,RCC,RCC 치료를 위한 혁신 저분자 **** 조절제 선도물질 발굴,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02223194,종양,Oncology,T cell,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,한국화학연구원,Cancer/Immune disease,T cell 선택적인 lentivirus를 이용하여 몸속에서 제작되는 In vivo CAR T 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02223174,종양,Oncology,TEAD,TPD,표적단백질분해(TPD),발굴,Discovery,한국화학연구원,NF2-mutated cancer,TEAD Interface3 표적 단백질 분해제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02223093,종양,Oncology,EGFR,TPD,표적단백질분해(TPD),발굴,Discovery,이화여자대학교 산학협력단,"Colon cancer, Head & neck cancer, NSCLC",EGFR 저해제의 약물내성 극복을 위한 자가조립형 펩타이드 기반 PROTAC 나노약물 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02213480,종양,Oncology,p53,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,성균관대학교 산학협력단,EGFR (+) Head and Neck cancer,EGFR 표적화된 p53 mRNA 기반의 두경부암 치료제,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02172968,종양,Oncology,"EGFR, CD3",Antibody,바이오/첨단,발굴,Discovery,서울대학교 산학협력단,EGFR high expressing cancer,EGFR의 untethered form에 특이적 결합을 보이는 항체를 활용한 BiTE (bispecific T cell engager) 고형암 치료제 개발 및 발현 정제 프로세스 수립,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00463605,종양,Oncology,APE1,Small molecules,합성/저분자,발굴,Discovery,한국과학기술원,"lung cancer, Colon cancer",약물저항성 4기-암환자 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00463393,종양,Oncology,N/A,Small molecules,합성/저분자,발굴,Discovery,조선대학교,Metastatic colorectal cancer,재발 및 전이성 대장암 신규 약물 표적 바이오마커 HSPA1L-METTL21A Protein-Protein Interactions (PPIs)를 억제하는 신규 선도물질의 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00460989,종양,Oncology,SHMT2 (serine hyroxymethyltransferase 2),Small molecules,합성/저분자,발굴,Discovery,한국화학연구원,Anaplastic Thyroid Cancer,역형성 갑상선암 치료용 SHMT2 억제 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00337810,종양,Oncology,WNK3,Small molecules,합성/저분자,발굴,Discovery,(주)체크메이트테라퓨틱스,"Glioblastoma, Liver cancer",저분자화합물 기반 항암면역치료제로서 First-in-class 표적인 WNK3 선택적 억제제 유효물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00337233,종양,Oncology,"Trop-2, NKp46, CD16A",Antibody,바이오/첨단,발굴,Discovery,고려대학교산학협력단,TNBC,삼중음성 유방암 치료를 위한 ADCC 극대화 Fc 변이체 도입 Trop-2×NKp46 표적 first-in-class NK세포 engager 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00336646,종양,Oncology,MAST3,Small molecules,합성/저분자,발굴,Discovery,한국화학연구원,"Gastric cancer, Colon cancer",MAST3 저해를 통한 항암 유효/선도 물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00334337,종양,Oncology,SLC1A5_var,Small molecules,합성/저분자,발굴,Discovery,연세대학교,incurable cancer,혁신 항암 타겟 SLC1A5_var에 대한 난치성 고형암 치료 First-in-Class 선택적 억제 유효물질 발굴 및 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00284167,종양,Oncology,Tumor specific neoantigens predicted by a GENINUS platform based on binding affinity between TCR an,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,지니너스 주식회사,Solid Tumor,종양 반응성 T세포와 신생항원의 결합 예측을 통한 고형암 치료용 개인맞춤 mRNA 백신 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00283832,종양,Oncology,VRK1,TPD,표적단백질분해(TPD),발굴,Discovery,한국화학연구원,Solid Tumor,진행성/난치성 고형암의 정밀의료를 위한 VRK1 저해제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00283446,종양,Oncology,IL.36,Antibody,바이오/첨단,발굴,Discovery,대구경북과학기술원,Melanoma,Interleukin.36 수용체 Agonist 항체 개발을 통한 면역관문억제제 불응성 흑색종 치료제 선도물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00282907,종양,Oncology,IL.21,Cell therapies,바이오/첨단,발굴,Discovery,서울대학교,Solid Tumor,IL.21 사이토카인 온/오프 스위치 탑재 고형암 타겟 TET 결손 CAR.T 세포 치료제 개발연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258678,종양,Oncology,"DDR1, TGF.β",Antibody,바이오/첨단,발굴,Discovery,포항공과대학교,"TNBC, NSCLC, PC",항암면역치료를 위한 종양기질조절 이중항체 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258675,종양,Oncology,NK cell,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,드노보 바이오테라퓨틱스,B cell lymphoma,재발성 및 불응성 B 세포 림프종 치료를 위한 mRNA 기반의 NK 세포 인게이저 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00167112,종양,Oncology,FOXM1,Small molecules,합성/저분자,발굴,Discovery,고려대학교의료원,Malignant tumor,악성 뇌종양 치료를 위한 단백질 구조기반 맞춤형 FOXM1 저분자 합성화합물 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166522,종양,Oncology,STING,Small molecules,합성/저분자,발굴,Discovery,한국과학기술연구원,Solid Tumor,STING 활성화제 기반 비 T세포 침윤성 암에 대한 면역항암 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166371,종양,Oncology,CXCL16,Antibody,바이오/첨단,발굴,Discovery,(주)셀러스,Solid Tumor,항 CXCL16 인간화 항체의 개발과 골전이암 신규 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166100,종양,Oncology,TMPRSS4,Antibody,바이오/첨단,발굴,Discovery,한국생명공학연구원,NSCLC,폐암 혁신신약타겟 TMPRSS4-특이적 중화항체 유효/선도물질 개발 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00165569,종양,Oncology,αGC-loaded ECNV of AML,Other-Bio.,바이오/첨단,발굴,Discovery,서울대학교산학협력단,AML,급성골수성백혈병 자가항암백신 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0644,종양,Oncology,Macrophage,rProtein,바이오/첨단,발굴,Discovery,서울대학교 산학협력단,Malignant tumor,종양 마크로파지 타겟 당화알부민-클로드로네이트 결합제제 기반 면역항암제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0638,종양,Oncology,NDRG3,Small molecules,합성/저분자,발굴,Discovery,한국생명공학연구원,Pancreatic cancer,KRAS 안정성 조절인자 NDRG3 표적화 췌장암 제어용 이중기능성 유효/선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0632,종양,Oncology,TSPO,Small molecules,합성/저분자,발굴,Discovery,서울대학교 산학협력단,Glioblastoma,전이체 단백질 표적 암치료제에 대한 유효물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0624,종양,Oncology,Phopholipid layer,rProtein,바이오/첨단,발굴,Discovery,성균관대학교 산학협력단,Colorectal cancer,종양 유래 엑소좀 붕괴 펩타이드 기반 대장암 면역치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0558,종양,Oncology,ALCAM,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,주식회사 하이셀텍,Ovary cancer,ALCAM 압타머 기반 ApDC 항암 신약 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0297,종양,Oncology,"CD47, CD73",Antibody,바이오/첨단,발굴,Discovery,(주)에이프릴바이오,TNBC,삼중음성유방암을 포함하는 난치성 고형암 치료를 위한 CD47/CD73 이중타겟 SAFAbody 항체치료제의 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0063,종양,Oncology,ENPP1,Small molecules,합성/저분자,발굴,Discovery,한국과학기술연구원,TNBC,TNBC 치료를 위한 혁신 핵산 감지 경로 조절제 발굴,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0061,종양,Oncology,"C4d, CD3",Antibody,바이오/첨단,발굴,Discovery,서울대학교 산학협력단,Cancer,C4d 보체 X CD3 이중특이성 T 세포 결합 항체 (BiTE) 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C1410,종양,Oncology,DCs,Other-Bio.,바이오/첨단,발굴,Discovery,연세대학교 산학협력단,Solid Tumor,차세대 면역항암치료를 위한 신규 폼팩터 개발 및 최적화,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0486,종양,Oncology,Oncokine-2,Antibody,바이오/첨단,발굴,Discovery,고려대학교 산학협력단,Metastatic malignant melanoma,면역관문억제제 불응 인자를 타겟하는 항체를 이용한 전이성 흑색종 치료제에 대한 선도물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0264,종양,Oncology,Doppel,Antibody,바이오/첨단,발굴,Discovery,서울대학교 산학협력단,Cancer,종양 특이적 분자인 도펠을 표적화하는 항체-약물 접합체(ADC)의 유효물질 및 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0232,종양,Oncology,"B7-H3, IL-12",Cell therapies,바이오/첨단,발굴,Discovery,서울대학교 산합혁력단,Solid Tumor,고형종양표적 CC12플랫폼기반 효력강화 B7H3 CAR-T 선도물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0226,종양,Oncology,CAR-DEGRON-T,Cell therapies,바이오/첨단,발굴,Discovery,한국화학연구원,Blood Cancer,케미칼 스윗치를 이용한 CAR T cell 안전성 시스템 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0207,종양,Oncology,CCSP-2,Antibody,바이오/첨단,발굴,Discovery,서울아산병원,Metastatic colorectal cancer,신규 타겟을 활용한 전이성 대장암 치료 항체 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0196,종양,Oncology,TPST2,Small molecules,합성/저분자,발굴,Discovery,광주과학기술원,Cancer,TPST2 타겟 IFN-γ 활성화 기전의 면역관문억제제 저항성 암종에 대한 저분자 면역항암 선도물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0103,종양,Oncology,"CD20, CD55",Antibody,바이오/첨단,발굴,Discovery,고려대학교 산학협력단,"Non-Hodgkin lymphoma, CLL",혈중 반감기 및 치료용 작용기작 극대화 Fc 변이체가 도입된 암 치료용 유효 및 선도 비대칭 Anti-CD20xCD55 이중항체 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C1125,종양,Oncology,IL-2,rProtein,바이오/첨단,발굴,Discovery,주식회사 지뉴브,"Kidney cancer, Skin cancer",고형암 치료를 위한 Best-in-class IL-2 면역항암제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0973,종양,Oncology,"PD-L1, SIRPα",Antibody,바이오/첨단,발굴,Discovery,(주)파멥신,Solid Tumor,PD-L1과 SIRPα를 타겟하여 항암면역을 증진시키는 이중표적항체 치료제에 대한 유효 및 선도 물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25454972,종양,Oncology,ULK1,Small molecules,합성/저분자,발굴,Discovery,(주)코웰바이오다임,PDAC,자가포식 저해 기반 ULK1 선도물질 개발을 통한 암세포 및 종양미세환경 동시 표적의 췌장암 치료 전략,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25450700,종양,Oncology,TROP2 x PD-L1 x CD3,Antibody,바이오/첨단,발굴,Discovery,(주)아크젠바이오사이온스,NSCLC,다중항체 기반기술을 적용한 TROP2 x PD-L1 x CD3 삼중항체 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25447260,종양,Oncology,"PD-1, VEGF, CTLA-4",Antibody,바이오/첨단,발굴,Discovery,주식회사 원진바이오테크놀로지,"CRC, G/GEJ adenocarcinoma Cervical cancer",UniStac 플랫폼 PD-1xVEGFxCTLA-4 삼중항체(OGB23501) 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25446859,종양,Oncology,Dendritic cells (CD11c⁺ DCs) via dual activation of TLR5/NLRC4 pathways using HPV16/18/52/58/33/45 E,rProtein,바이오/첨단,발굴,Discovery,전남대학교산학협력단,High-risk HPV infection–induced cervical intraepithelial neoplasia (CIN) and early-stage cervical ca,차세대 HPV 치료백신 개발: 수지상세포 TLR5/NLRC4 이중표적 전략,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25444455,종양,Oncology,NMT,Small molecules,합성/저분자,발굴,Discovery,(주) 이노보테라퓨틱스,AML,PTM 억제 기전을 갖는 경구용 불응성 암 치료제 개발을 위한 선도물질 발굴연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25444375,종양,Oncology,MYO1D/GFRs,TPD,표적단백질분해(TPD),발굴,Discovery,박셀바이오,solid tumors expressing mutant growth factor receptors (GFRs),표적단백 분해에 기반한 성장인자수용체 차단 first-in-class 항암신약 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02223190,종양,Oncology,NEDD8,Small molecules,합성/저분자,발굴,Discovery,한국화학연구원,Prostate cancer,네딜화 저해를 통한 NF-kB 신호전달체계 억제 기전의 신경내분비 전립선암 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02213692,종양,Oncology,IL-7/CCL19,Cell therapies,바이오/첨단,발굴,Discovery,티에스디라이프사이언스,Liver cancer,간암 치료를 위한 면역세포의 화학주성을 유도하는 유도만능줄기세포유래 NK 세포치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02213330,종양,Oncology,NUAK1,Small molecules,합성/저분자,발굴,Discovery,한국원자력의학원,Pancreatic cancer,암-섬유화 동시억제 NUAK1표적 First-in class 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02213236,종양,Oncology,TROP2,Antibody,바이오/첨단,발굴,Discovery,에이비온주식회사,Solid cancer,항암 효과 극대화 및 부작용 최소화를 위한 Trop2 표적 항체-사이토카인 융합 단백질(항-TROP2 ACFP) 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02213057,종양,Oncology,CHI3L1,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,오토텔릭바이오(주),"Pancreatic cancer, SCC(Squamous cell carcinoma), Lung cancer",Cold tumor를 Hot tumor로의 전환에 효과적인 POC(Peptide Oligonucleotide Conjugates)를 활용한 항암 RNA 치료제 선도물질의 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02202978,종양,Oncology,SHP2,TPD,표적단백질분해(TPD),발굴,Discovery,엘젠테라퓨틱스,KRAS (+) Pancreatic cancer/Solid cancer,KRAS 변이암 치료를 위한 SHP2 분해제로서의 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02192979,종양,Oncology,CDCP1,Antibody,바이오/첨단,발굴,Discovery,주식회사 노벨티노빌리티,CDCP1 (+)-Pancreatic cancer,CDCP1 타깃 항체약물접합체를 이용한 췌장암 치료제 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02183052,종양,Oncology,LRRC15,Antibody,바이오/첨단,발굴,Discovery,주식회사 에디스바이오텍,"Osteosarcoma, Colon cancer, malignant melanoma",암세포 및 암 관련 섬유아세포 타깃 LRRC15 ADC 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-02172980,종양,Oncology,αPD-1/αVEGF/IL-2v,rProtein,바이오/첨단,발굴,Discovery,머스트바이오(주),Solid cancer,난치성 고형암 치료를 위한 first-in-class αPD-1/αVEGF/IL-2v 삼중작용 면역항암제 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00461865,종양,Oncology,HER3,Antibody,바이오/첨단,발굴,Discovery,주식회사 인투셀,Metastatic breast cancer,전이성 유방암 치료제용 HER3-ADC 선도물질 발굴,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00461392,종양,Oncology,PD-L1 and ***,Antibody,바이오/첨단,발굴,Discovery,(주)지아이이노베이션,Solid cancer,이중융합항체 PD-L1/*** 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00460474,종양,Oncology,CBL-B,TPD,표적단백질분해(TPD),발굴,Discovery,주식회사 이뮤즈테라퓨틱스,Colorectal Cancer (MSI-H/dMMR),대장암 치료제로서 CBL-B를 표적으로 하는 분자 내 접착 안정제 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00459720,종양,Oncology,Estrogen Receptor,TPD,표적단백질분해(TPD),발굴,Discovery,한국화학연구원,Breast cancer (ER-positive),ER 양성 유방암 치료제 개발을 위한 에스트로겐 수용체 표적 분해 ATTEC 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00443388,종양,Oncology,Tumor specific neoantigens predicted from deep learning platform technology,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,펜타메딕스,TNBC,삼중음성유방암 치료를 위한 개인맞춤형 원형 mRNA 항암백신 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00338745,종양,Oncology,CD171,Antibody,바이오/첨단,발굴,Discovery,에이피트바이오 주식회사,Solid tumor,고형암 치료용 CD171 ADC 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00338105,종양,Oncology,CMTM6,Small molecules,합성/저분자,발굴,Discovery,강원대학교,"Lung cancer, Solid cancer",CMTM6 타겟 PD-L1 분해 저분자 면역관문억제 화합물을 이용한 폐암치료제 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00337873,종양,Oncology,SOX2,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,이피디바이오테라퓨틱스,"NSCLC, SCLC",신규타겟 SOX2를 표적하는 신규모달리티 ‘차세대 TPD’ 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00337392,종양,Oncology,CR-P1,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,(주)큐로젠,Hepatocellular Carcinoma,고위험 이중탈인산화효소를 표적으로 한 간암 유전자치료 혁신신약 후보물질의 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00337284,종양,Oncology,"CSF1R, PI3Kδ",Small molecules,합성/저분자,발굴,Discovery,중앙대학교산학협력단,"Cancers(NSCLC, melanoma) with high tumor mutational burden",종양미세환경에서 TAM과 조절 T 세포를 동시에 억제하는 저분자 면역항암제 발굴,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00336018,종양,Oncology,DDR1,Small molecules,합성/저분자,발굴,Discovery,주식회사 큐어버스,KRAS G12X-mutant cancer,다양한 KRAS G12X 변이 악성 폐암 및 췌장암을 계열 내 최초 신규 표적 하는 선택적 Discoidin Domain Receptor 1(DDR1) 저해제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00332418,종양,Oncology,IKZF2,TPD,표적단백질분해(TPD),발굴,Discovery,한국화학연구원,"Solid tumor (NSCLC, Melanoma, TNBC)",분자접착기반 IKZF2 분해제 선도 물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00332412,종양,Oncology,Novel transcriptional regulator function in both cancer and immune cells,Small molecules,합성/저분자,발굴,Discovery,삼진제약(주),"Solid tumor(ovarian, colorectal, melanoma, etc.)",면역항암 혁신신약 ○○○ 저해제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00332392,종양,Oncology,Androgen receptor,TPD,표적단백질분해(TPD),발굴,Discovery,한국화학연구원,Castration-resistant prostate cancer,ATTEC 기술을 활용하여 안드로겐수용체를 분해하는 전립선암 치료 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00283660,종양,Oncology,CD33,Antibody,바이오/첨단,발굴,Discovery,상트네어바이오사이언스,Cancer,신규 혁신 항체 플랫폼 기술을 이용한 CD33 표적 AML 치료제 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00283539,종양,Oncology,SIRT7,Small molecules,합성/저분자,발굴,Discovery,한국화학연구원,Cancer,절제 불능 간세포암 치료를 위한 SIRT7 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00283056,종양,Oncology,PSMA/CD137,Antibody,바이오/첨단,발굴,Discovery,앱클론(주),Cancer,전이성 거세저항성 전립선암을 표적하는 이중면역항체 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00259367,종양,Oncology,AbClickⓇPro,Small molecules,합성/저분자,발굴,Discovery,앱티스주식회사,Gastric/GEJ,항체 변형 없이 위치 선택적으로 약물 접합이 가능한 3세대 항체 약물 복합체 링커 기술의 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258901,종양,Oncology,FoxM1,Small molecules,합성/저분자,발굴,Discovery,한국화학연구원,Solid Cancer,대장암 치료를 위한 FoxM1 저해 저분자 화합물 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258885,종양,Oncology,TLS,Small molecules,합성/저분자,발굴,Discovery,디파이브테라퓨틱스,Solid Cancer,Rev1을 타겟으로 하는 저분자 화합물을 이용한TLS(translesion synthesis)저해 기전의 난소암 치료제 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258823,종양,Oncology,HGF,Antibody,바이오/첨단,발굴,Discovery,서울대학교산학협력단,Cancer,ADC용 항 HGF 항체 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258783,종양,Oncology,Topoisomerase I,Small molecules,합성/저분자,발굴,Discovery,피노바이오,Solid Tumor,ADC 페이로드로 사용될 수 있는 캄토테신 유도체 기반 신규 Topoisomerase I 저해제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00219308,종양,Oncology,"c-Myc, BCL2",Gene & Nucleic acids,바이오/첨단,발굴,Discovery,큐리진,Ovarian cancer,Bispecific shRNA와 항체회피 항암아데노바이러스를 이용한 난소암 유전자 치료제의 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00218778,종양,Oncology,HRI,Small molecules,합성/저분자,발굴,Discovery,주식회사넥스세라,polycythemia vera,혈액암 치료를 위한 Integrated Stress Response 유도 기능성 신규 HRI 활성화 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00218195,종양,Oncology,FLT3,TPD,표적단백질분해(TPD),발굴,Discovery,연세대학교산학협력단,"Acute myeloid leukemia, AML",프로탁과 화학단백질체학 기반 종양단백질 신규 FLT3 분해제 선도물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00217986,종양,Oncology,AURKA,TPD,표적단백질분해(TPD),발굴,Discovery,업테라,Cancer,AURKA 단백질을 선택적으로 분해하는 PROTAC 항암 신약 선도물질의 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00217717,종양,Oncology,APP,Antibody,바이오/첨단,발굴,Discovery,지놈앤컴퍼니,Solid cancer,신규 면역항암 타겟인 APP를 표적으로 하는 면역관문억제제 후보물질 도출을 위한 선도물질 발굴 및 확보,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00167101,종양,Oncology,"FlaB, ClyA",Other-Bio.,바이오/첨단,발굴,Discovery,씨앤큐어,Solid Tumor,면역활성 약독화 살모넬라를 이용한 고형암 치료용 선도물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
